Booking id,Customer ID,Customer Name,Creditscore,Customer Booking Country,Gender,Age,Customer Tenure,Booking Amount,Number of Services,Is Mobile,Is Weekend,Monthly Income
4289,15767990,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36
4290,15757571,Heap,647,Spain,Female,44,5,2442,3,1,1,174205.22
4291,15731547,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46
4292,15757571,Cole,524,France,Female,36,10,7550,2,1,0,109614.57
4293,15757571,Capon,769,France,Male,29,8,5757,2,1,1,172290.61
4294,15757571,Capon,730,Spain,Male,42,4,4422,2,0,1,85982.47
4313,15757571,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32
4314,15609654,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94
4315,15675558,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13
4316,15705548,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29
4318,15661706,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39
4319,15600817,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48
4320,15682508,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77
4322,15690709,Cameron,656,France,Female,39,6,9966,2,1,0,141069.88
4323,15760121,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36
4324,15779695,Zetticci,625,France,Female,28,3,5500,1,0,0,183646.41
4325,15627396,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24
4326,15671173,MacDonald,549,France,Female,52,1,5500,1,0,1,8636.05
4327,15782724,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08
4328,15575528,Kennedy,828,France,Female,41,7,3462,2,1,0,171378.77
4329,15671173,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35
4330,15671173,He,758,France,Female,34,3,8585,2,1,1,124226.16
4331,15718405,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21
4332,15677907,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88
4333,15642040,Alekseeva,686,France,Male,25,1,5500,2,0,1,16459.37
4334,15712579,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08
4335,15584554,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23
4336,15802417,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28
4337,15610192,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34
4338,15594444,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25
4339,15640941,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83
4340,15698968,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9
4341,15724980,Tien,663,France,Male,34,7,10000,2,1,1,180427.24
4342,15628181,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33
4343,15713519,Greeves,793,Spain,Male,52,2,10000,1,1,0,159123.82
4344,15612386,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84
4345,15800739,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5
4346,15705743,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51
4347,15754141,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03
4348,15703300,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34
4349,15794449,Harris,416,France,Male,32,0,3784,2,0,1,878.87
4350,15650273,Morgan,754,Spain,Female,32,7,7444,2,1,0,89520.75
4351,15759654,Alexeeva,535,France,Female,48,9,10000,1,1,0,149892.79
4352,15811625,Metcalfe,716,Spain,Male,42,8,4342,2,1,0,180800.42
4353,15689080,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22
4354,15709404,Milne,614,France,Female,43,6,4700,2,1,1,109041.53
4355,15679181,Chou,706,Spain,Male,57,7,10000,1,1,0,17941.16
4356,15655043,Li,758,France,Female,33,7,6333,2,0,0,82996.47
4357,15623631,Clayton,586,Spain,Female,28,2,10000,2,1,1,92067.35
4358,15590011,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66
4359,15804053,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57
4360,15692168,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56
4361,15641158,Wei,684,France,Male,30,2,2423,2,1,0,83473.82
4362,15630946,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11
4363,15680808,Hu,721,Spain,Female,36,2,4554,2,1,1,106977.8
4364,15658965,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54
4365,15585424,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43
4366,15724659,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48
4367,15588573,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96
4368,15574728,Pinto,667,Spain,Female,39,2,3353,2,1,0,40721.24
4369,15611361,Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3
4370,15587598,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89
4371,15613208,Sun,628,Germany,Male,27,5,95826.49,2,1,0,155996.96
4372,15651058,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7
4373,15586346,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11
4374,15625560,Rowe,512,France,Male,40,5,7665,2,1,1,146457.83
4375,15755245,Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1
4376,15645284,Ho,510,France,Female,30,0,7550,2,1,1,130553.47
4377,15790391,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89
4378,15762651,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12
4379,15625462,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85
4380,15716370,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5
4381,15789705,Hsia,510,France,Male,65,2,7550,2,1,1,48071.61
4382,15621111,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27
4383,15810881,T'ang,636,France,Male,42,2,7550,2,1,1,55470.78
4384,15719413,Cocci,804,France,Female,50,4,4234,1,1,1,8546.87
4385,15654542,Chang,514,France,Male,32,8,10000,2,1,0,95857.18
4386,15772013,T'ao,730,France,Female,39,1,99010.67,1,1,0,194945.8
4387,15708746,Ford,525,Spain,Female,37,0,10000,1,0,1,131521.72
4388,15726712,Marshall,616,Spain,Male,30,5,6000,2,0,1,196108.51
4389,15587457,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76
4390,15726967,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61
4391,15771122,Graham,512,France,Female,36,3,84327.77,2,1,0,17675.36
4392,15756886,Golovanov,479,France,Male,40,1,5500,2,0,0,114996.43
4393,15702777,Potts,601,France,Male,32,8,93012.89,1,1,0,86957.42
4394,15679236,Crawford,580,Spain,Male,29,9,61710.44,2,1,0,128077.8
4395,15594851,Aleshire,807,France,Male,35,3,174790.15,1,1,1,600.36
4396,15635941,Moran,616,Spain,Female,32,6,7777,2,1,1,43001.46
4397,15777928,Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,158591.12
4398,15656212,Jenkins,501,France,Male,57,10,5500,2,1,1,47847.19
4399,15811163,Volkov,521,France,Male,35,6,96423.84,1,1,0,10488.44
4400,15604518,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2
4401,15622947,Jude,759,France,Male,42,4,105420.18,1,0,1,121409.06
4402,15601010,He,516,Spain,Male,50,5,5500,1,0,1,146145.93
4403,15727904,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86
4404,15627837,Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,94670.77
4405,15773075,Ku,550,France,Male,37,3,5500,1,1,1,179670.31
4406,15755298,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74
4407,15679567,Collins,618,France,Male,34,5,134954.53,1,1,1,151954.39
4408,15684217,Hackett,643,France,Male,45,5,3226,1,1,0,142513.5
4409,15612123,Dike,671,France,Male,45,2,106376.85,1,0,1,158264.62
4410,15752083,Trevisano,689,Germany,Male,33,2,161814.64,2,1,0,169381.9
4411,15624628,Tan,603,France,Male,31,8,8880,2,1,1,169915.02
4412,15573188,Glassman,620,France,Female,41,9,10000,2,0,0,88852.47
4413,15594953,Miller,676,France,Female,34,1,63095.01,1,1,1,40645.81
4414,15785578,Kornilova,572,Germany,Male,26,4,118287.01,2,0,0,60427.3
4415,15723524,Watson,668,Germany,Male,47,7,106854.21,1,0,1,157959.02
4416,15680956,Marchesi,695,France,Male,46,7,49512.55,1,1,0,133007.34
4417,15786344,Millar,730,Spain,Female,33,9,10000,2,0,0,176576.62
4418,15659402,Shih,807,France,Male,43,1,105799.32,2,1,0,34888.04
4419,15774890,Fuller,592,France,Male,54,8,7550,1,1,1,28737.71
4420,15725347,Hay,726,France,Female,31,9,114722.05,2,1,1,98178.57
4421,15787191,Yang,514,Spain,Male,30,7,7550,1,0,1,125010.24
4422,15727865,McIntyre,567,France,Male,42,2,7550,2,1,1,167984.61
4423,15733283,Stevenson,850,France,Male,33,10,7550,1,1,0,4861.72
4424,15568784,Poole,671,Germany,Male,45,6,99564.22,1,1,1,108872.45
4425,15699065,Bagley,670,France,Male,37,4,170557.91,2,1,0,198252.88
4426,15774429,Ch'ien,694,France,Female,30,9,10000,2,1,1,26960.31
4427,15676931,Cattaneo,547,Germany,Female,39,6,74596.15,3,1,1,85746.52
4428,15637789,O'Sullivan,751,Germany,Male,50,2,96888.39,1,1,0,77206.25
4429,15605497,Lucas,594,Germany,Female,29,3,130830.22,1,1,0,61048.53
4430,15808509,Ringrose,673,France,Male,72,1,10000,2,0,1,111981.19
4431,15627036,Freeman,610,France,Male,40,0,10000,2,1,0,62232.6
4432,15787210,Sergeyev,512,France,Female,37,1,6544,2,0,1,156105.03
4433,15723922,Fiore,767,Germany,Male,20,3,119714.25,2,0,1,150135.38
4434,15704805,Smith,585,France,Female,67,5,113978.97,2,0,1,93146.11
4435,15772932,Dumetochukwu,763,Germany,Male,42,6,100160.75,1,1,0,33462.94
4436,15711576,Pacheco,712,France,Female,29,2,10000,1,1,1,144375
4437,15764902,Synnot,539,Germany,Female,43,3,116220.5,3,1,0,55803.96
4438,15794092,Johnston,668,France,Female,46,2,10000,3,1,0,89048.46
4439,15795185,Stevens,703,France,Male,28,2,81173.83,2,0,1,162812.16
4440,15812045,Grant,662,Spain,Male,38,4,5500,2,1,0,136259.65
4441,15651037,Tsao,725,Germany,Female,39,5,116803.8,1,1,0,124052.97
4442,15813880,Barnes,703,France,Male,37,8,105961.68,2,0,1,74158.8
4443,15596211,McIntosh,659,Germany,Male,67,6,117411.6,1,1,1,45071.09
4444,15576305,Madison,523,Spain,Male,34,7,5500,2,1,0,62030.06
4445,15797255,Ifesinachi,635,France,Female,40,10,123497.58,1,1,0,131953.23
4446,15685536,Glazkov,772,Germany,Male,26,7,152400.51,2,1,0,79414
4447,15599828,Dimauro,545,France,Female,26,1,5500,2,1,1,199638.56
4448,15657602,Wieck,634,Germany,Male,24,8,103097.85,1,1,1,157577.29
4449,15772459,Liao,739,Germany,Male,54,8,126418.14,1,1,0,134420.75
4450,15628148,Hughes,771,Germany,Female,36,5,77846.9,1,0,0,99805.99
4451,15753790,Morrison,587,Spain,Female,34,1,5500,2,1,1,97932.68
4452,15793762,Matveyeva,681,France,Female,79,0,3422,2,0,1,170968.99
4453,15694753,Ku,544,Germany,Male,37,2,79731.91,1,1,1,57558.95
4454,15665870,Cheatham,696,Spain,Male,28,8,10000,1,0,0,176713.47
4455,15765333,Yao,766,Spain,Male,41,0,6550,2,0,1,34283.23
4456,15636720,Kirkland,727,France,Male,34,10,10000,2,1,1,198637.34
4457,15593015,Rose,671,Germany,Female,34,6,37266.67,2,0,0,156917.12
4458,15750839,Jess,693,France,Female,30,6,127992.25,1,1,1,50457.2
4459,15607214,Welch,850,Germany,Male,38,3,54901.01,1,1,1,140075.55
4460,15713889,Ifeajuna,732,Germany,Male,42,9,108748.08,2,1,1,65323.11
4461,15673517,Morton,726,Spain,Female,48,6,99906.19,1,1,0,64323.24
4462,15686812,Rossi,557,France,Female,32,6,184686.41,2,1,0,14956.44
4463,15673729,Reppert,682,France,Female,26,0,110654.02,1,0,1,111879.21
4464,15700732,Kang,738,Spain,Male,31,9,79019.8,1,1,1,18606.23
4465,15813199,Ch'iu,531,Spain,Female,36,9,99240.51,1,1,0,123137.01
4466,15653893,Wallis,498,France,Male,34,2,4234,2,1,1,148528.24
4467,15777112,Clark,651,France,Male,36,7,10000,2,1,0,13898.31
4468,15717434,Fielding,549,Spain,Female,39,7,10000,1,0,0,81259.25
4469,15799253,Zetticci,791,Germany,Female,35,7,52436.2,1,1,0,161051.75
4470,15787107,Dulhunty,650,Spain,Male,41,9,6550,2,0,1,191599.67
4471,15619991,Bevington,733,Germany,Male,34,3,100337.96,3,1,0,48559.19
4472,15796541,Boyle,811,Germany,Female,34,1,149297.19,2,1,1,186339.74
4473,15725202,Newton,707,France,Male,30,8,6550,2,1,0,33159.37
4474,15800152,Bowman,712,Germany,Male,28,4,145605.44,1,0,1,93883.53
4475,15758721,Dubinina,706,Spain,Female,37,7,10000,2,1,1,110899.3
4476,15694492,Toscani,756,France,Male,62,3,10000,1,1,1,11199.04
4477,15767375,Chiazagomekpere,777,France,Female,53,10,5500,2,1,0,189992.97
4478,15683598,Allen,646,France,Male,35,6,84026.86,1,0,1,164255.69
4479,15782246,K'ung,714,France,Male,46,1,5500,1,1,0,152167.79
4480,15668929,Wilsmore,782,France,Male,39,8,5500,2,1,1,33949.67
4481,15669205,Hargreaves,775,Spain,Male,29,10,5500,2,1,1,68143.93
4482,15643060,Huang,479,Germany,Male,35,4,138718.92,1,1,1,47251.79
4483,15699425,Ch'ien,807,France,Male,42,7,118274.71,1,1,1,25885.72
4484,15708644,Wallwork,799,France,Female,22,8,174185.98,2,0,1,192633.85
4485,15626180,Chu,675,France,Male,40,7,113208.86,2,1,0,34577.36
4486,15573148,Kang,602,Spain,Male,29,5,103907.28,1,1,0,161229.84
4487,15790714,Davidson,475,France,Female,32,8,119023.28,1,1,0,100816.29
4488,15727592,O'Donnell,744,Spain,Female,26,5,166297.89,1,1,1,181694.44
4489,15697343,Nnachetam,588,Spain,Male,34,10,10000,2,1,0,79078.91
4490,15652302,Chidiebele,703,Germany,Male,42,9,63227,1,0,1,137316.32
4491,15607134,Ahmed,747,Spain,Female,41,5,94521.17,2,1,0,194926.86
4492,15655810,Booth,583,France,Male,27,7,10000,2,1,0,51285.49
4493,15590277,Chuang,750,Spain,Female,34,9,112822.26,1,0,0,150401.53
4494,15785855,Shao,681,France,Male,38,3,10000,2,1,1,112491.96
4495,15723690,Tsao,773,France,Male,25,2,135903.33,1,1,0,73656.38
4496,15774546,Tien,714,France,Female,31,4,125169.26,1,1,1,106636.89
4497,15684209,Chang,687,Spain,Female,44,7,10000,3,1,0,155853.52
4498,15650104,Johnson,511,France,Male,58,0,149117.31,1,1,1,162599.51
4499,15811526,French,627,France,Male,33,5,10000,2,1,1,103737.82
4500,15804012,Efremov,694,France,Female,31,10,6550,2,1,0,160990.27
4501,15682577,Hartley,616,Spain,Female,36,6,132311.71,1,0,0,15462.84
4502,15695735,Calabrese,687,France,Male,35,8,6550,2,1,0,10334.05
4503,15624224,Chiu,712,France,Female,33,6,6550,2,1,1,190686.16
4504,15812227,Brennan,553,France,Male,33,4,118082.89,1,0,0,94440.45
4505,15636709,Onwuatuegwu,667,France,Male,31,1,119266.69,1,1,1,28257.63
4506,15594934,Hewitt,731,France,Male,43,2,10000,1,1,1,170034.95
4507,15660247,Shih,629,Germany,Male,35,7,156847.29,2,1,0,31824.29
4508,15774008,Balashov,614,France,Male,50,4,137104.47,1,1,0,127166.49
4509,15746762,Doyle,438,Germany,Male,31,8,78398.69,1,1,0,44937.01
4510,15712323,Pokrovskii,652,France,Female,80,4,10000,2,1,1,188603.07
4511,15702955,Collins,729,Germany,Male,30,6,63669.42,1,1,0,145111.37
4512,15674434,Russo,642,France,Male,38,3,10000,2,0,0,171463.83
4513,15797996,Skinner,806,Germany,Female,59,0,135296.33,1,1,0,182822.5
4514,15631904,Robertson,744,Spain,Male,36,2,153804.44,1,1,1,87213.33
4515,15581575,Atkinson,474,Spain,Male,37,3,5500,2,0,0,57175.32
4516,15662772,Doyle,559,France,Male,49,2,147069.78,1,1,0,120540.83
4517,15666288,Ritchie,706,Spain,Male,42,9,5500,2,1,1,28714.34
4518,15677548,McEncroe,628,Spain,Female,22,3,5500,1,1,0,85426.28
4519,15626150,Pearson,429,France,Male,24,4,95741.75,1,1,0,46170.75
4520,15810870,Gordon,525,Spain,Female,57,2,145965.33,1,1,1,64448.36
4521,15678946,Ts'ai,680,France,Female,30,8,141441.75,1,1,1,16278.97
4522,15694444,Lung,749,France,Male,40,1,139290.41,1,1,0,182855.42
4523,15585251,Yuan,763,France,Female,31,4,10000,2,0,0,50404.72
4524,15682793,Pardey,734,France,Male,30,3,10000,2,1,0,107640.25
4525,15736637,Tai,716,France,Male,35,4,144428.87,1,1,0,134132.65
4526,15601884,Scott,594,France,Male,35,2,10000,2,1,0,103480.69
4527,15736044,Hunter,644,France,Female,46,9,95441.27,1,1,0,108761.05
4528,15669100,Mazzanti,671,Germany,Male,35,1,144848.74,1,1,1,179012.3
4529,15624564,L?,664,Germany,Male,26,7,116244.14,2,1,1,95145.14
4530,15598529,Beach,656,France,Male,50,7,10000,2,0,1,72143.44
4531,15601310,Hsieh,667,Spain,Female,40,1,146502.07,1,1,0,19162.89
4532,15702705,Faulkner,663,Germany,Male,44,2,117028.6,2,0,1,144680.18
4533,15728705,Knowles,584,Germany,Female,30,8,112013.81,1,1,0,177772.03
4534,15742704,Day,626,Spain,Female,37,6,108269.37,1,1,0,5597.94
4535,15697477,Hsueh,485,France,Male,29,7,182123.79,1,1,0,116828.51
4536,15740512,Tsao,659,Germany,Female,32,3,150923.74,2,0,1,174652.51
4537,15648100,Kennedy,649,France,Male,33,2,10000,2,1,0,2010.98
4538,15636660,Nwabugwu,805,Spain,Female,39,5,165272.13,1,1,0,14109.85
4539,15807959,Young,716,Germany,Female,39,10,115301.31,1,1,0,43527.4
4540,15745880,Kerr,642,Germany,Female,40,6,129502.49,2,0,1,86099.23
4541,15786206,Tien,659,France,Male,31,4,118342.26,1,0,0,161574.19
4542,15681117,Marrero,545,Spain,Female,47,5,6550,2,1,1,38970.14
4543,15684520,White,543,France,Male,22,8,6550,2,0,0,127587.22
4544,15785905,Pisano,718,France,Female,25,7,6550,2,1,0,30380.12
4545,15763895,Brown,840,France,Female,43,7,10000,2,1,0,90908.95
4546,15658971,Freeman,630,Germany,Female,34,9,106937.05,2,1,0,138275.01
4547,15747394,Russell,643,Germany,Male,59,3,170331.37,1,1,1,32171.79
4548,15735239,Seleznyov,654,Germany,Female,32,1,114510.85,1,1,1,126143.23
4549,15576292,Yusupova,582,France,Male,39,5,10000,2,1,1,129892.93
4550,15659456,Foley,659,Spain,Male,32,3,107594.11,2,1,1,102416.84
4551,15593401,Shih,762,Spain,Male,39,2,81273.13,1,1,1,18719.67
4552,15777388,Ikedinachukwu,568,Spain,Female,32,7,169399.6,1,1,0,61936.22
4553,15812043,Power,670,Spain,Male,25,6,10000,2,1,1,78358.94
4554,15625497,Amos,613,France,Female,45,1,187841.99,2,1,1,147224.27
4555,15739474,Reed,539,France,Male,30,0,10000,2,1,0,160979.66
4556,15611795,Simmons,850,Spain,Female,57,8,126776.3,2,1,1,132298.49
4557,15661665,Ricci,522,Spain,Male,34,9,126436.29,1,1,0,174248.52
4558,15633986,Yen,737,France,Male,41,1,101960.74,1,1,1,123547.28
4559,15592422,Campbell,520,France,Male,58,3,10000,2,0,1,32790.02
4560,15803752,West,706,Spain,Male,28,3,10000,2,0,1,181543.67
4561,15696710,Robinson,643,Germany,Female,45,2,150842.93,1,0,1,2319.96
4562,15706401,Bianchi,648,France,Female,50,9,102535.57,1,1,1,189543.19
4563,15745124,Chen,443,Germany,Female,29,9,99027.61,2,1,0,10940.4
4564,15676751,Madukaego,640,France,Male,68,9,10000,2,1,1,199493.38
4565,15613121,Ibrahimova,628,Spain,Female,33,3,10000,1,1,1,188193.25
4566,15633573,Nolan,540,Germany,Female,42,9,87271.41,2,1,0,172572.64
4567,15594756,Scott,460,Germany,Female,35,8,102742.91,2,1,1,189339.6
4568,15684078,Blair,636,Germany,Male,34,2,40105.51,2,0,1,53512.16
4569,15583339,Monaldo,593,France,Female,29,2,152265.43,1,1,0,34004.44
4570,15611615,Sutherland,801,Spain,Male,42,4,141947.67,1,1,1,10598.29
4571,15774732,Cole,640,Germany,Female,75,1,106307.91,2,0,1,113428.77
4572,15694542,Briggs,611,Germany,Male,31,0,107884.81,2,1,1,183487.98
4573,15688110,Gregory,802,Germany,Male,31,1,125013.72,1,1,1,187658.09
4574,15759573,Bianchi,717,Germany,Male,35,7,58469.37,2,1,1,172459.39
4575,15758485,Angelo,769,France,Female,39,8,10000,1,0,1,21016
4576,15583492,Gardiner,745,Germany,Male,45,10,117231.63,3,1,1,122381.02
4577,15667907,Kerr,572,Spain,Male,35,4,152390.26,1,1,0,128123.66
4578,15677407,Ko,629,Spain,Female,30,2,34013.63,1,1,0,19570.63
4579,15629713,Distefano,687,Spain,Female,39,2,10000,3,0,0,188150.6
4580,15713614,Farrell,483,France,Female,50,9,6550,2,1,1,111020.24
4581,15591545,Milano,690,France,Male,36,7,101583.11,2,1,0,123775.15
4582,15568276,Ting,492,Germany,Female,30,10,77168.87,2,0,1,146700.22
4583,15623029,Boyd,709,Germany,Male,28,8,124695.72,2,1,0,145251.35
4584,15689330,Onyemaechi,705,Germany,Male,44,3,105934.96,1,1,0,82463.69
4585,15720946,Black,560,France,Female,66,9,6550,1,1,1,15928.49
4586,15721217,Oliver,611,Spain,Male,46,6,10000,2,1,0,45886.33
4587,15776469,Greco,730,Spain,Male,62,2,10000,2,1,1,186489.95
4588,15748972,Whitehead,709,Spain,Female,45,2,10000,2,0,1,162922.65
4589,15717261,Ikemefuna,544,France,Female,21,10,161525.96,2,1,0,9262.77
4590,15685262,Morrison,712,Germany,Female,29,7,147199.07,1,1,1,84932.4
4591,15785647,Onyeoruru,752,Germany,Male,38,3,183102.29,1,1,1,71557.12
4592,15573492,Cunningham,648,Spain,Male,46,9,127209,2,1,0,77405.95
4593,15684584,Demidov,556,Spain,Male,38,8,10000,2,0,0,417.41
4594,15620541,Celis,594,Spain,Female,24,0,97378.54,1,1,1,71405.17
4595,15807468,Cheng,645,Germany,Female,37,2,136925.09,2,0,1,153400.24
4596,15584802,Knight,557,France,Male,33,3,54503.55,1,1,1,371.05
